List of GSM companies w.e.f 06.06.2019,,
Sr. No.,Security Name,ISIN
1,7Seas Entertainment Ltd,INE454F01010
2,A.F. Enterprises Ltd,INE663P01015
3,Aadhaar Ventures India Ltd,INE063D01030
4,Aar Shyam India Investment Company Ltd,INE512R01010
5,AARV Infratel Ltd,INE432N01010
6,ABC Gas International Ltd,INE173M01012
7,ABG Shipyard Ltd,INE067H01016
8,Abhinav Leasing & Finance Ltd,INE211D01027
9,Abhishek Corporation Ltd,INE004I01017
10,Abhishek Finlease Ltd,INE723C01015
11,Abhishek Infraventures Ltd,INE281P01016
12,Abirami Financial Services India Ltd,INE195I01013
13,Ace Men Engg Works Ltd,INE023R01018
14,Achal Investments Ltd,INE860P01025
15,ACIL Cotton Industries Ltd,INE066C01035
16,Acrow India Ltd,INE950D01012
17,Action Financial Services India Ltd,INE357A01032
18,Adarsh Mercantile Ltd,INE673E01018
19,Adarsh Plant Protect Ltd,INE627D01016
20,Adharshila Capital Services Ltd,INE269F01012
21,Adinath Textiles Ltd,INE207C01019
22,Aditri Industries Ltd,INE636N01016
23,Ador Multiproducts Ltd,INE628D01014
24,Advance Petrochemicals Ltd,INE334N01018
25,Advance PowerInfra Tech Ltd,INE009D01017
26,Advanced Micronic Devices Ltd,INE903C01013
27,Agio Paper & Industries Ltd,INE112C01011
28,Ajcon Global Services Ltd,INE759C01019
29,Ajwa Fun World & Resort Ltd,INE863E01015
30,Lesha Industries Ltd,INE050L01048
31,Alchemist Ltd,INE964B01033
32,Alfavision Overseas India Ltd,INE883B01019
33,Alka Diamond Industries Ltd,INE963D01015
34,Alka Securities Ltd,INE921C01031
35,Alps Industries Ltd,INE093B01015
36,Alps Motor Finance Ltd,INE729P01022
37,Amani Trading & Exports Ltd,INE886D01018
38,Amarnath Securities Ltd,INE745P01010
39,Amit Spinning Industries Ltd,INE988A01026
40,Amradeep Industries Ltd,INE673C01020
41,Aneri Fincap Ltd,INE720D01019
42,ANG Industries Ltd,INE017D01010
43,Anka India Ltd,INE067C01025
44,Ankit Metal & Power Ltd,INE106I01010
45,Anubhav Industrial Resources Ltd,INE966Q01010
46,Apple Finance Ltd,INE096A01010
47,Apunka Invest Commercial Ltd,INE258R01010
48,Aravali Securities & Finance Ltd,INE068C01015
49,Arcuttipore Tea Company Ltd,INE674C01010
50,Ardi Investments & Trading Company Ltd,NA
51,Inland Printers Ltd,INE055O01025
52,Arman Holdings Ltd,INE510P01018
53,Artson Engineering Ltd,INE133D01023
54,Aruna Hotels Ltd,INE957C01019
55,Aryan Share and Stock Brokers Ltd,INE016X01010
56,Asahi Industries Ltd,INE745I01015
57,Ashiana Agro Industries Ltd,INE709D01012
58,Ashirwad Steels & Industries Ltd,INE338C01012
59,Ashutosh Paper Mills Ltd,INE723K01018
60,Asia Pack Ltd,INE784M01016
61,Asian Flora Ltd,NA
62,Asian Petroproducts & Exports Ltd,INE810M01019
63,Asis Logistics Ltd,INE888E01020
64,Aspira Pathlab & Diagnostics Ltd,INE500C01017
65,Atharv Enterprises Ltd,INE354E01031
66,Athena Global Technologies Ltd,INE576B01019
67,ATN International Ltd,INE803A01027
68,Autoriders Finance Ltd,INE450A01019
69,Aviva Industries Ltd,INE461H01011
70,Avon Lifesciences Ltd,INE881A01015
71,Ayoki Mercantile Ltd,INE048E01013
72,B. P. Capital Ltd,INE947C01010
73,B2B Software Technologies Ltd,INE151B01011
74,Bacil Pharma Ltd,INE711D01018
75,Bagadia Colourchem Ltd,INE365H01014
76,Bansisons Tea Industries Ltd,INE856E01019
77,Baroda Extrusion Ltd,INE927K01023
78,Baron Infotech Ltd,INE228B01017
79,Beeyu Overseas Ltd,INE052B01011
80,Best Eastern Hotels Ltd,INE553F01035
81,Bhagyashree Leasing & Finance Ltd,INE655F01012
82,Bhanot Construction & Housing Ltd,INE484K01017
83,Alan Scott Industries Ltd,INE273F01022
84,Bilpower Ltd,INE952D01018
85,Binny Mills Ltd,INE160L01011
86,Birdhi Chand Pannalal Agencies Ltd,INE795P01023
87,Birla Cotsyn (India) Ltd,INE655I01024
88,Bisil Plast Ltd,INE214D01021
89,Bits Ltd,INE839A01021
90,BKV Industries Ltd,INE356C01022
91,Bloom Dekor Ltd,INE253C01013
92,Bloom Industries Ltd,INE373E01015
93,Blue Chip India Ltd,INE657B01025
94,Blue Circle Services Ltd,INE526K01031
95,Blue Cloud Softech Solutions Ltd,INE373T01021
96,Blue Pearl Texspin Ltd,INE439N01023
97,Bluechip Stockspin Ltd,INE337F01017
98,BNR Udyog Ltd,INE355C01016
99,Bombay Potteries & Tiles Ltd,NA
100,Bonanza Industries Ltd,INE143N01021
101,Boston Leasing and Finance Ltd,INE962P01011
102,Boston Teknowsys (India) Ltd,INE777E01017
103,Brand Realty Services Ltd,INE819G01012
104,Bridge Securities Ltd,INE958C01017
105,Brijlaxmi Leasing & Finance Ltd,INE957E01031
106,BWL Ltd,NA
107,California Software Company Ltd,INE526B01014
108,Cals Refineries Ltd,INE040C01022
109,Canopy Finance Ltd,INE095R01016
110,Caprolactam Chemicals Ltd,INE470N01010
111,Centerac Technologies Ltd,INE157B01026
112,Central Provinces Railways Company Ltd,INE631B01038
113,Chamak Holdings Ltd,INE049R01013
114,Chandrima Mercantiles Ltd,INE371F01016
115,Charms Industries Ltd,INE442C01012
116,Chase Bright Steel Ltd,NA
117,Chennai Ferrous Industries Ltd,INE777O01016
118,Chitradurga Spintex Ltd,INE676G01024
119,CHPL Industries Ltd,INE714Q01014
120,Cindrella Financial Services Ltd,INE897D01015
121,Cinerad Communications Ltd,INE959B01017
122,CISTRO Telelink Ltd,INE365C01023
123,Citi Port Financial Services Ltd,INE494D01011
124,Citizen Yarns Ltd,INE940P01025
125,Cityman Ltd,INE117C01010
126,Classic Filaments Ltd,INE181U01018
127,CNI Research Ltd,INE135H01029
128,Cochin Malabar Estates & Industries Ltd,INE788M01017
129,Combat Drugs Ltd,INE643N01012
130,Commex Technology Ltd,INE354B01029
131,Concrete Credit Ltd,INE719G01014
132,Consecutive Investment & Trading Company Ltd,INE187R01011
133,Continental Controls Ltd,INE545B01022
134,Continental Securities Ltd,INE183Q01012
135,Corporate Merchant Bankers Ltd,INE850R01014
136,Cosboard Industries Ltd,INE496D01016
137,Coventry Coil-O-Matic Haryana Ltd,INE964D01013
138,Crazy Infotech Ltd,INE664B01021
139,Crescent Leasing Ltd,INE767G01013
140,Crestchem Ltd,INE293N01016
141,Cura Technologies Ltd,INE117B01012
142,Cyberscape Multimedia Ltd,INE519B01019
143,Dalmia Industrial Development Ltd,INE642P01019
144,Unimode Overseas Ltd,INE348N01034
145,Datasoft Application Software India Ltd,INE072B01019
146,Datiware Maritime Infra Ltd,INE673U01014
147,Dazzel Confindive Ltd,INE149E01027
148,DCM Financial Services Ltd,INE891B01012
149,Deccan Bearings Ltd,INE498D01012
150,Decillion Finance Ltd,INE848N01017
151,Decorous Investment & Trading Co Ltd,INE183R01010
152,Deepti Alloy Steel Ltd,INE360S01012
153,Delta Industrial Resources Ltd,INE681Q01015
154,Delton Cables Ltd,INE872E01016
155,Woodsvilla Ltd,INE374J01020
156,Devhari Exports (India) Ltd,INE553P01018
157,Devine Impex Ltd,INE455C01014
158,Dharani Finance Ltd,INE899D01011
159,Dhruv Estates Ltd,INE780E01011
160,Dhruva Capital Services Ltd,INE972E01014
161,Dion Global Solutions Ltd,INE991C01034
162,Disha Resources Ltd,INE193D01019
163,Divinus Fabrics Ltd,INE478P01018
164,DMC Education Ltd,INE585D01024
165,DSJ Communications Ltd,INE055C01020
166,Dwitiya Trading Ltd,INE222P01028
167,e.com Infotech India Ltd,INE578B01015
168,East Buildtech Ltd,INE706N01017
169,Eastcoast Steel Ltd,INE315F01013
170,Eastern Silk Industries Ltd,INE962C01027
171,Ecoboard Industries Ltd,INE866A01016
172,Educomp Solutions Ltd,INE216H01027
173,Ejecta Marketing Ltd,INE649L01013
174,Ekam Leasing & Finance Company Ltd,INE906L01017
175,Elango Industries Ltd,INE594D01018
176,EMA India Ltd,INE279D01016
177,Emed.com Technologies Ltd,INE379F01019
178,Emerald Leisures Ltd,INE044N01013
179,Emmsons International Ltd,INE073C01015
180,Empee Sugars & Chemicals Ltd,INE928B01012
181,EPIC Energy Ltd,INE932F01015
182,Epsom Properties Ltd,INE601F01016
183,Escorts Finance Ltd,INE359A01012
184,Esha Media Research Ltd,INE328F01016
185,Eskay KnIT India Ltd,INE220A01032
186,Essar Securities Ltd,INE143K01019
